current,voltage,power
399.7,8.012,3214
400.6,8.012,3228
690.5,7.988,3430
397.9,8.012,3212
957.6,7.704,7130
880,7.552,5678
866.4,7.78,6704
982.6,7.848,5430
810.7,7.828,5744
790.9,7.8,6170
966,7.732,7468
1405.7,7.632,10728
1060.9,7.768,6442
766.5,7.828,6068
792.5,7.84,6304
787,7.796,6344
1079.4,7.568,8142
903.3,7.78,7084
1025.9,7.648,7844
1397.5,7.52,10492
777.2,7.704,6134
794.1,7.76,6010
740.4,7.804,5934
792.2,7.82,6196
844.4,7.808,6620
1011.4,7.72,7750
976.2,7.732,7520
1048.7,7.764,7346
766.8,7.852,5984
774.2,7.844,6072
762.3,7.828,6014
808.2,7.832,6052
910.7,7.752,7130
944.1,7.72,7780
790.4,7.824,6004
787.1,7.84,6056
682.1,7.868,5026
397,8,3156
400.5,8.004,3204
395.4,8.004,3166
400.7,8,3204
645.4,7.816,6934
392.1,8.004,3162
399.7,8.004,3208
398.9,8.004,3208
